File,Created,Accessed,Modified,Target Size (bytes),Target is on:,Volume Type,Volume Serial,Volume Label,Target File Path,
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\David_Paystub_02-23-2018.lnk,2018-03-01 22:10:13.687288,2018-03-01 22:10:13.687288,2018-03-01 22:10:13.848326,20057,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\David_Paystub_02-23-2018.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\David_Sarah_GovernmentIDs.lnk,2018-03-01 22:15:52.657305,2018-03-01 22:15:52.657305,2018-03-01 22:15:04,446632,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\David_Sarah_GovernmentIDs.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\David_W2_2016.lnk,2018-03-01 22:07:01.060200,2018-03-01 22:07:01.060200,2018-03-01 22:00:48,312550,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\David_W2_2016.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\David_W2_2017.lnk,2018-03-01 22:09:33.449299,2018-03-01 22:09:33.449299,2018-03-01 22:09:33.818972,289315,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\David_W2_2017.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Desktop.lnk,2018-01-27 20:48:27.446310,2018-01-27 20:48:27.446310,2018-01-31 10:43:37.804607,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\DestList.lnk,2018-03-04 11:35:39.054905,2018-03-04 11:35:39.054905,2018-03-04 11:35:39.078796,932,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParserTest\JumpListParserTest\26e07dcb0912b99a\DestList.csv
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Discord.lnk,2018-01-27 22:13:42.064409,2018-01-27 22:13:42.064409,2018-01-27 22:15:25.190071,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\AppData\Local\Discord
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Documents.lnk,2018-01-27 20:48:27.446310,2018-01-27 20:48:27.446310,2018-03-01 22:37:14.946016,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Downloads.lnk,2018-01-27 20:48:27.446310,2018-01-27 20:48:27.446310,2018-03-08 19:53:22.256865,12288,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Downloads
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\favicon.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\favicon.png
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\File System Threat Hunting for kennesaw State Uni.lnk,2018-01-30 18:39:33.918234,2018-01-30 18:39:33.918234,2018-01-27 16:08:22,1149232,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\School\Spring 2018\File System Threat Hunting for kennesaw State Uni.pptx
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\GeneralJournal.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\src\components\GeneralJournal.js
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\GetUserName.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\source\repos\Shellbags_Parser\Shellbags_Parser\GetUserName.py
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\JumpListParser-master (2).lnk,2018-01-31 10:54:41.187849,2018-01-31 10:54:41.187849,2018-01-31 10:58:31.212908,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParser-master
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\JumpListParser-master.lnk,2018-01-31 10:54:23.906498,2018-01-31 10:54:23.906498,2018-01-31 10:54:24.279699,7930,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Downloads\JumpListParser-master.zip
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\JumpListParser.lnk,2015-10-08 04:01:20,2015-10-08 04:01:20,2018-01-31 10:58:31.207329,36875,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParser-master\JumpListParser.py
